chars,psnr,rmse
713,73.2278,0.055610
714,73.2263,0.055620
715,73.2217,0.055649
716,73.2156,0.055688
717,73.2065,0.055746
718,73.2035,0.055766
719,73.2020,0.055775
720,73.1959,0.055814
721,73.1868,0.055873
722,73.1793,0.055921
723,73.1763,0.055941
724,73.1703,0.055979
725,73.1642,0.056018
726,73.1597,0.056047
727,73.1537,0.056086
728,73.1493,0.056115
729,73.1448,0.056144
730,73.1388,0.056182
731,73.1328,0.056221
732,73.1269,0.056260
733,73.1224,0.056289
734,73.1179,0.056317
735,73.1090,0.056375
736,73.1031,0.056414
737,73.1016,0.056423
738,73.0957,0.056462
739,73.0883,0.056510
740,73.0824,0.056548
741,73.0780,0.056577
742,73.0736,0.056606
743,73.0692,0.056634
744,73.0662,0.056654
745,73.0618,0.056682
746,73.0545,0.056730
747,73.0487,0.056768
748,73.0399,0.056826
749,73.0312,0.056883
750,73.0268,0.056912
751,73.0210,0.056950
752,73.0181,0.056969
753,73.0137,0.056997
754,73.0065,0.057045
755,73.0021,0.057073
756,72.9992,0.057092
757,72.9920,0.057140
758,72.9877,0.057168
759,72.9834,0.057197
760,72.9776,0.057235
761,72.9690,0.057292
762,72.9661,0.057311
763,72.9575,0.057367
764,72.9504,0.057415
765,72.9489,0.057424
766,72.9446,0.057452
767,72.9418,0.057471
768,72.9375,0.057500
769,72.9318,0.057537
770,72.9290,0.057556
771,72.9233,0.057594
772,72.9176,0.057632
773,72.9119,0.057669
774,72.9034,0.057726
775,72.8950,0.057782
776,72.8893,0.057820
777,72.8837,0.057857
778,72.8809,0.057876
779,72.8766,0.057904
780,72.8710,0.057941
781,72.8640,0.057988
782,72.8584,0.058026
783,72.8528,0.058063
784,72.8472,0.058100
785,72.8430,0.058128
786,72.8361,0.058175
787,72.8319,0.058203
788,72.8277,0.058231
789,72.8249,0.058250
790,72.8166,0.058305
791,72.8083,0.058361
792,72.8014,0.058408
793,72.7945,0.058454
794,72.7876,0.058501
795,72.7821,0.058538
796,72.7780,0.058565
797,72.7725,0.058602
798,72.7643,0.058658
799,72.7588,0.058695
800,72.7561,0.058713
801,72.7506,0.058750
802,72.7451,0.058787
803,72.7383,0.058833
804,72.7315,0.058880
805,72.7247,0.058926
806,72.7193,0.058962
807,72.7139,0.058999
808,72.7071,0.059045
809,72.7031,0.059073
810,72.6990,0.059100
811,72.6936,0.059137
812,72.6882,0.059174
813,72.6869,0.059183
814,72.6802,0.059229
815,72.6761,0.059256
816,72.6708,0.059293
817,72.6654,0.059329
818,72.6614,0.059357
819,72.6574,0.059384
820,72.6547,0.059402
821,72.6467,0.059457
822,72.6441,0.059475
823,72.6387,0.059512
824,72.6347,0.059539
825,72.6281,0.059585
826,72.6241,0.059612
827,72.6215,0.059630
828,72.6188,0.059648
829,72.6135,0.059685
830,72.6069,0.059730
831,72.6016,0.059767
832,72.6003,0.059776
833,72.5990,0.059785
834,72.5950,0.059812
835,72.5885,0.059857
836,72.5793,0.059921
837,72.5779,0.059930
838,72.5701,0.059984
839,72.5622,0.060038
840,72.5557,0.060083
841,72.5531,0.060102
842,72.5466,0.060147
843,72.5414,0.060183
844,72.5375,0.060210
845,72.5323,0.060246
846,72.5271,0.060282
847,72.5193,0.060336
848,72.5154,0.060363
849,72.5077,0.060417
850,72.5025,0.060453
851,72.4974,0.060488
852,72.4948,0.060506
853,72.4909,0.060533
854,72.4832,0.060587
855,72.4794,0.060614
856,72.4742,0.060650
857,72.4678,0.060694
858,72.4640,0.060721
859,72.4551,0.060784
860,72.4512,0.060810
861,72.4436,0.060864
862,72.4385,0.060900
863,72.4334,0.060935
864,72.4284,0.060971
865,72.4246,0.060998
866,72.4182,0.061042
867,72.4119,0.061086
868,72.4081,0.061113
869,72.4081,0.061113
870,72.4043,0.061140
871,72.4006,0.061166
872,72.3955,0.061202
873,72.3867,0.061264
874,72.3830,0.061290
875,72.3767,0.061335
876,72.3729,0.061361
877,72.3654,0.061414
878,72.3592,0.061458
879,72.3530,0.061502
880,72.3517,0.061511
881,72.3492,0.061529
882,72.3418,0.061582
883,72.3393,0.061599
884,72.3318,0.061652
885,72.3293,0.061670
886,72.3256,0.061696
887,72.3207,0.061731
888,72.3157,0.061767
889,72.3108,0.061802
890,72.3046,0.061846
891,72.2985,0.061889
892,72.2911,0.061942
893,72.2874,0.061968
894,72.2862,0.061977
895,72.2825,0.062003
896,72.2776,0.062038
897,72.2739,0.062064
898,72.2678,0.062108
899,72.2617,0.062152
900,72.2544,0.062204
901,72.2495,0.062239
902,72.2459,0.062265
903,72.2374,0.062326
904,72.2289,0.062387
905,72.2241,0.062422
906,72.2192,0.062457
907,72.2144,0.062491
908,72.2072,0.062543
909,72.2012,0.062587
910,72.1975,0.062613
911,72.1915,0.062656
912,72.1855,0.062699
913,72.1784,0.062751
914,72.1748,0.062777
915,72.1688,0.062820
916,72.1640,0.062855
917,72.1604,0.062881
918,72.1557,0.062915
919,72.1485,0.062967
920,72.1450,0.062993
921,72.1390,0.063036
922,72.1355,0.063062
923,72.1308,0.063096
924,72.1260,0.063131
925,72.1213,0.063165
926,72.1154,0.063208
927,72.1095,0.063251
928,72.1060,0.063276
929,72.1001,0.063319
930,72.0919,0.063379
931,72.0919,0.063379
932,72.0883,0.063405
933,72.0813,0.063456
934,72.0743,0.063508
935,72.0720,0.063525
936,72.0673,0.063559
937,72.0650,0.063576
938,72.0603,0.063610
939,72.0545,0.063653
940,72.0498,0.063687
941,72.0464,0.063712
942,72.0382,0.063772
943,72.0359,0.063789
944,72.0324,0.063814
945,72.0278,0.063848
946,72.0220,0.063891
947,72.0197,0.063908
948,72.0151,0.063942
949,72.0117,0.063967
950,72.0059,0.064010
951,72.0002,0.064052
952,71.9956,0.064086
953,71.9944,0.064094
954,71.9910,0.064120
955,71.9875,0.064145
956,71.9807,0.064196
957,71.9784,0.064213
958,71.9738,0.064246
959,71.9704,0.064272
960,71.9647,0.064314
961,71.9601,0.064348
962,71.9545,0.064390
963,71.9488,0.064432
964,71.9454,0.064457
965,71.9374,0.064516
966,71.9318,0.064558
967,71.9284,0.064583
968,71.9227,0.064625
969,71.9182,0.064659
970,71.9149,0.064684
971,71.9104,0.064718
972,71.9070,0.064743
973,71.9036,0.064768
974,71.8980,0.064810
975,71.8958,0.064826
976,71.8902,0.064868
977,71.8857,0.064902
978,71.8823,0.064927
979,71.8778,0.064960
980,71.8734,0.064994
981,71.8656,0.065052
982,71.8589,0.065102
983,71.8545,0.065135
984,71.8500,0.065169
985,71.8445,0.065210
986,71.8412,0.065235
987,71.8389,0.065252
988,71.8345,0.065285
989,71.8312,0.065310
990,71.8246,0.065360
991,71.8213,0.065385
992,71.8191,0.065401
993,71.8169,0.065418
994,71.8114,0.065459
995,71.8070,0.065493
996,71.8004,0.065542
997,71.7982,0.065559
998,71.7960,0.065575
999,71.7894,0.065625
1000,71.7872,0.065642
